eqId,runId,optId,D,OA,TO,xmax,ymax,zmax,tmax,fpSize,addsLup,subsLup,multsLup,divsLup,readsLup,writesLup,ldMats,immediateMats,nThreads,duration (s)
generic,1,orig,1,2,0,2.56e+05,0,0,16,8,2,0,7,0,1,1,0,1,1,0.01945
generic,1,orig,2,2,0,512,512,0,16,8,4,0,9,0,3,1,0,1,1,0.02459
generic,1,orig,3,2,0,64,64,64,16,8,6,0,11,0,5,1,0,1,1,0.02872
generic,1,orig,1,4,0,2.56e+05,0,0,16,8,4,0,9,0,1,1,0,1,1,0.02983
generic,1,orig,2,4,0,512,512,0,16,8,8,0,13,0,5,1,0,1,1,0.04482
generic,1,orig,3,4,0,64,64,64,16,8,12,0,17,0,9,1,0,1,1,0.06271
generic,1,orig,1,2,1,2.56e+05,0,0,16,8,3,0,8,0,2,1,0,1,1,0.0163
generic,1,orig,2,2,1,512,512,0,16,8,5,0,10,0,4,1,0,1,1,0.02674
generic,1,orig,3,2,1,64,64,64,16,8,7,0,12,0,6,1,0,1,1,0.03232
generic,1,orig,1,4,1,2.56e+05,0,0,16,8,5,0,10,0,2,1,0,1,1,0.0324
generic,1,orig,2,4,1,512,512,0,16,8,9,0,14,0,6,1,0,1,1,0.0491
generic,1,orig,3,4,1,64,64,64,16,8,13,0,18,0,10,1,0,1,1,0.06662
generic,1,orig,1,2,2,2.56e+05,0,0,16,8,4,0,9,0,3,1,0,1,1,0.0239
generic,1,orig,2,2,2,512,512,0,16,8,6,0,11,0,5,1,0,1,1,0.02944
generic,1,orig,3,2,2,64,64,64,16,8,8,0,13,0,7,1,0,1,1,0.0345
generic,1,orig,1,4,2,2.56e+05,0,0,16,8,6,0,11,0,3,1,0,1,1,0.03411
generic,1,orig,2,4,2,512,512,0,16,8,10,0,15,0,7,1,0,1,1,0.05236
generic,1,orig,3,4,2,64,64,64,16,8,14,0,19,0,11,1,0,1,1,0.06782
generic,1,orig,1,2,0,2.56e+05,0,0,16,8,2,0,7,0,4,1,1,1,1,0.01926
generic,1,orig,2,2,0,512,512,0,16,8,4,0,9,0,8,1,1,1,1,0.03261
generic,1,orig,3,2,0,64,64,64,16,8,6,0,11,0,12,1,1,1,1,0.04345
generic,1,orig,1,4,0,2.56e+05,0,0,16,8,4,0,9,0,6,1,1,1,1,0.02786
generic,1,orig,2,4,0,512,512,0,16,8,8,0,13,0,14,1,1,1,1,0.1181
generic,1,orig,3,4,0,64,64,64,16,8,12,0,17,0,22,1,1,1,1,0.2718
generic,1,orig,1,2,1,2.56e+05,0,0,16,8,3,0,8,0,5,1,1,1,1,0.02101
generic,1,orig,2,2,1,512,512,0,16,8,5,0,10,0,9,1,1,1,1,0.03488
generic,1,orig,3,2,1,64,64,64,16,8,7,0,12,0,13,1,1,1,1,0.06617
