eqId,runId,optId,D,OA,TO,xmax,ymax,zmax,tmax,fpSize,addsLup,subsLup,multsLup,divsLup,readsLup,writesLup,ldMats,immediateMats,nThreads,duration (s)
10,1,1,2,4,0,512,512,0,16,8,8,0,10,0,14,1,1,1,1,0.08273
10,1,1,3,4,0,64,64,64,16,8,12,0,14,0,22,1,1,1,1,0.1213
10,1,1,1,2,1,2.56e+05,0,0,16,8,3,0,5,0,5,1,1,1,1,0.01412
10,1,1,2,2,1,512,512,0,16,8,5,0,7,0,9,1,1,1,1,0.02548
10,1,1,3,2,1,64,64,64,16,8,7,0,9,0,13,1,1,1,1,0.05199
10,1,1,1,4,1,2.56e+05,0,0,16,8,5,0,7,0,7,1,1,1,1,0.02336
10,1,1,2,4,1,512,512,0,16,8,9,0,11,0,15,1,1,1,1,0.07092
10,1,1,3,4,1,64,64,64,16,8,13,0,15,0,23,1,1,1,1,0.2727
10,1,1,1,2,2,2.56e+05,0,0,16,8,4,0,6,0,6,1,1,1,1,0.01814
10,1,1,2,2,2,512,512,0,16,8,6,0,8,0,10,1,1,1,1,0.05406
10,1,1,3,2,2,64,64,64,16,8,8,0,10,0,14,1,1,1,1,0.06737
10,1,1,1,4,2,2.56e+05,0,0,16,8,6,0,8,0,8,1,1,1,1,0.02967
10,1,1,2,4,2,512,512,0,16,8,10,0,12,0,16,1,1,1,1,0.1319
10,1,1,3,4,2,64,64,64,16,8,14,0,16,0,24,1,1,1,1,0.1322
10,1,1,1,2,0,2.56e+05,0,0,16,8,2,0,3,4,1,1,0,1,1,0.09956
10,1,1,2,2,0,512,512,0,16,8,4,0,5,4,3,1,0,1,1,0.09909
10,1,1,3,2,0,64,64,64,16,8,6,0,7,4,5,1,0,1,1,0.09175
10,1,1,1,4,0,2.56e+05,0,0,16,8,4,0,5,4,1,1,0,1,1,0.09986
10,1,1,2,4,0,512,512,0,16,8,8,0,9,4,5,1,0,1,1,0.1043
10,1,1,3,4,0,64,64,64,16,8,12,0,13,4,9,1,0,1,1,0.09011
10,1,1,1,2,1,2.56e+05,0,0,16,8,3,0,4,4,2,1,0,1,1,0.09857
10,1,1,2,2,1,512,512,0,16,8,5,0,6,4,4,1,0,1,1,0.1
10,1,1,3,2,1,64,64,64,16,8,7,0,8,4,6,1,0,1,1,0.09135
10,1,1,1,4,1,2.56e+05,0,0,16,8,5,0,6,4,2,1,0,1,1,0.1023
10,1,1,2,4,1,512,512,0,16,8,9,0,10,4,6,1,0,1,1,0.1037
10,1,1,3,4,1,64,64,64,16,8,13,0,14,4,10,1,0,1,1,0.09074
10,1,1,1,2,2,2.56e+05,0,0,16,8,4,0,5,4,3,1,0,1,1,0.09588
10,1,1,2,2,2,512,512,0,16,8,6,0,7,4,5,1,0,1,1,0.0972
10,1,1,3,2,2,64,64,64,16,8,8,0,9,4,7,1,0,1,1,0.08905
10,1,1,1,4,2,2.56e+05,0,0,16,8,6,0,7,4,3,1,0,1,1,0.09626
10,1,1,2,4,2,512,512,0,16,8,10,0,11,4,7,1,0,1,1,0.103
10,1,1,3,4,2,64,64,64,16,8,14,0,15,4,11,1,0,1,1,0.116
10,1,1,1,2,0,2.56e+05,0,0,16,8,2,0,3,4,4,1,1,1,1,0.08853
